ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen
19.6," Naveen-ul-Haq to Hasaranga, FOUR, handy boundary for RCB. Hasaranga makes room and gets under this short of length delivery, slices it over the off-side field, gets it wide of the sweeper cover ",RCB Inns,43r,Lucknow Super Giants,Royal Challengers Bangalore,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Amit Mishra, Yash Thakur","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Karn Sharma, Mohammed Siraj, Josh Hazlewood","LSG Impact subs: Badoni, Daniel Sams, Avesh Khan, De Kock and Prerak Mankad.","RCB Impact subs: Harshal Patel, Shahbaz, Vyshak, Bracewell and Sonu Yadav.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 01,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 18 runs,Faf du Plessis,RCB,bat
19.5," Naveen-ul-Haq to Hazlewood, 1 run, slower ball short outside off, Hazlewood backs away and finds long-off ",RCB Inns,43r,Lucknow Super Giants,Royal Challengers Bangalore,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Amit Mishra, Yash Thakur","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Karn Sharma, Mohammed Siraj, Josh Hazlewood","LSG Impact subs: Badoni, Daniel Sams, Avesh Khan, De Kock and Prerak Mankad.","RCB Impact subs: Harshal Patel, Shahbaz, Vyshak, Bracewell and Sonu Yadav.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 01,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 18 runs,Faf du Plessis,RCB,bat
19.4," Naveen-ul-Haq to Hazlewood, no run, slower ball on a good length on the stumps, defended back ",RCB Inns,43r,Lucknow Super Giants,Royal Challengers Bangalore,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Amit Mishra, Yash Thakur","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Karn Sharma, Mohammed Siraj, Josh Hazlewood","LSG Impact subs: Badoni, Daniel Sams, Avesh Khan, De Kock and Prerak Mankad.","RCB Impact subs: Harshal Patel, Shahbaz, Vyshak, Bracewell and Sonu Yadav.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 01,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 18 runs,Faf du Plessis,RCB,bat
19.3," Naveen-ul-Haq to Siraj, out Caught by Pooran!! Credit to Pooran for spotting that. He went up a micro-second later after catching it and UltraEdge throws up a spike as the ball is next to glove. Dug in short on the stumps, Siraj shuffles across and looks for the scoop, brushes the glove and the review works. Naveen-ul-Haq on a hat-trick. Siraj c Pooran b Naveen-ul-Haq 0(1) ",RCB Inns,43r,Lucknow Super Giants,Royal Challengers Bangalore,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Amit Mishra, Yash Thakur","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Karn Sharma, Mohammed Siraj, Josh Hazlewood","LSG Impact subs: Badoni, Daniel Sams, Avesh Khan, De Kock and Prerak Mankad.","RCB Impact subs: Harshal Patel, Shahbaz, Vyshak, Bracewell and Sonu Yadav.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 01,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 18 runs,Faf du Plessis,RCB,bat
19.2," Naveen-ul-Haq to Karn Sharma, out Caught by Gowtham!! Slower ball on a length outside off, Karn Sharma tries to guide it over backward point and finds the man there. Another for the impressive Naveen-ul-Haq who punches the air in delight. Karn Sharma c Gowtham b Naveen-ul-Haq 2(2) ",RCB Inns,43r,Lucknow Super Giants,Royal Challengers Bangalore,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Amit Mishra, Yash Thakur","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Karn Sharma, Mohammed Siraj, Josh Hazlewood","LSG Impact subs: Badoni, Daniel Sams, Avesh Khan, De Kock and Prerak Mankad.","RCB Impact subs: Harshal Patel, Shahbaz, Vyshak, Bracewell and Sonu Yadav.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 01,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 18 runs,Faf du Plessis,RCB,bat
19.1," Naveen-ul-Haq to Hasaranga, 1 run, full and following Hasaranga outside the leg-stump, a thick inside-edge on the drive to short fine-leg ",RCB Inns,43r,Lucknow Super Giants,Royal Challengers Bangalore,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Amit Mishra, Yash Thakur","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Karn Sharma, Mohammed Siraj, Josh Hazlewood","LSG Impact subs: Badoni, Daniel Sams, Avesh Khan, De Kock and Prerak Mankad.","RCB Impact subs: Harshal Patel, Shahbaz, Vyshak, Bracewell and Sonu Yadav.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 01,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 18 runs,Faf du Plessis,RCB,bat
18.6," Yash Thakur to Karn Sharma, 2 runs, short of length on the stumps, Karn Sharma punches wide of Bishnoi at backward point who on the dive half-stops, that allows the 2nd ",RCB Inns,43r,Lucknow Super Giants,Royal Challengers Bangalore,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Amit Mishra, Yash Thakur","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Karn Sharma, Mohammed Siraj, Josh Hazlewood","LSG Impact subs: Badoni, Daniel Sams, Avesh Khan, De Kock and Prerak Mankad.","RCB Impact subs: Harshal Patel, Shahbaz, Vyshak, Bracewell and Sonu Yadav.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 01,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 18 runs,Faf du Plessis,RCB,bat
18.5," Yash Thakur to Hasaranga, 1 run, slower ball off-cutter on the stumps, Hasaranga pulls to deep mid-wicket ",RCB Inns,43r,Lucknow Super Giants,Royal Challengers Bangalore,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Amit Mishra, Yash Thakur","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Karn Sharma, Mohammed Siraj, Josh Hazlewood","LSG Impact subs: Badoni, Daniel Sams, Avesh Khan, De Kock and Prerak Mankad.","RCB Impact subs: Harshal Patel, Shahbaz, Vyshak, Bracewell and Sonu Yadav.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 01,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 18 runs,Faf du Plessis,RCB,bat
18.4," Yash Thakur to Hasaranga, out Karthik Run Out!! What was I mentioning about DK and his backing up just now. It has proved to be his downfall. He has taken a huge start and Hasaranga mistimes it back to Yash Thakur who fields, turns around and hits direct. Thakur is jumping for joy. That is a big wicket for DK looked to be in good nick out there. He attempted to dive back in but no chance. Karthik run out (Yash Thakur) 16(11) [4s-1 6s-1] ",RCB Inns,43r,Lucknow Super Giants,Royal Challengers Bangalore,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Amit Mishra, Yash Thakur","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Karn Sharma, Mohammed Siraj, Josh Hazlewood","LSG Impact subs: Badoni, Daniel Sams, Avesh Khan, De Kock and Prerak Mankad.","RCB Impact subs: Harshal Patel, Shahbaz, Vyshak, Bracewell and Sonu Yadav.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 01,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 18 runs,Faf du Plessis,RCB,bat
18.3," Yash Thakur to Karthik, 1 run, low full-toss on the stumps, clipped to deep backward square leg ",RCB Inns,43r,Lucknow Super Giants,Royal Challengers Bangalore,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Amit Mishra, Yash Thakur","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Karn Sharma, Mohammed Siraj, Josh Hazlewood","LSG Impact subs: Badoni, Daniel Sams, Avesh Khan, De Kock and Prerak Mankad.","RCB Impact subs: Harshal Patel, Shahbaz, Vyshak, Bracewell and Sonu Yadav.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 01,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 18 runs,Faf du Plessis,RCB,bat
