ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Meredith to Russell, 1 run, brilliant yorker around off, Russell can only jam it out near him and the batters take a brisk single ",1st Inns,22nd,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Ishan Kishan(w), Cameron Green, Tilak Varma, Suryakumar Yadav(c), Tim David, Nehal Wadhera, Arjun Tendulkar, Hrithik Shokeen, Piyush Chawla, Duan Jansen, Riley Meredith","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Venkatesh Iyer, N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Lockie Ferguson, Varun Chakaravarthy","Mumbai Indians Subs: Rohit Sharma, Ramandeep Singh, Arshad Khan, Vishnu Vinod, Kumar Kartikeya","Kolkata Knight Riders Subs: Suyash Sharma, David Wiese, Anukul Roy, Mandeep Singh, Vaibhav Arora",IPL,2023,"Wankhede Stadium,Mumbai","Apr 16,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Venkatesh Iyer,MI,field,KKR,MI,Russell, Meredith,1,0,yorker,undefined,,,,
19.5," Meredith to Russell, FOUR, shot! Pitched up ball outside off, Russell has to reach out to it. He smashes it past extra cover for a rocketing boundary ",1st Inns,22nd,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Ishan Kishan(w), Cameron Green, Tilak Varma, Suryakumar Yadav(c), Tim David, Nehal Wadhera, Arjun Tendulkar, Hrithik Shokeen, Piyush Chawla, Duan Jansen, Riley Meredith","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Venkatesh Iyer, N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Lockie Ferguson, Varun Chakaravarthy","Mumbai Indians Subs: Rohit Sharma, Ramandeep Singh, Arshad Khan, Vishnu Vinod, Kumar Kartikeya","Kolkata Knight Riders Subs: Suyash Sharma, David Wiese, Anukul Roy, Mandeep Singh, Vaibhav Arora",IPL,2023,"Wankhede Stadium,Mumbai","Apr 16,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Venkatesh Iyer,MI,field,KKR,MI,Russell, Meredith,4,0,undefined,off side,extra cover,,,
19.4," Meredith to Russell, no run, dot! An off pace short of length ball outside off, tennis ball like bounce on that. Russell has to generate all the power on it and mistimes his flat-batted stroke to mid-off ",1st Inns,22nd,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Ishan Kishan(w), Cameron Green, Tilak Varma, Suryakumar Yadav(c), Tim David, Nehal Wadhera, Arjun Tendulkar, Hrithik Shokeen, Piyush Chawla, Duan Jansen, Riley Meredith","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Venkatesh Iyer, N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Lockie Ferguson, Varun Chakaravarthy","Mumbai Indians Subs: Rohit Sharma, Ramandeep Singh, Arshad Khan, Vishnu Vinod, Kumar Kartikeya","Kolkata Knight Riders Subs: Suyash Sharma, David Wiese, Anukul Roy, Mandeep Singh, Vaibhav Arora",IPL,2023,"Wankhede Stadium,Mumbai","Apr 16,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Venkatesh Iyer,MI,field,KKR,MI,Russell, Meredith,0,0,Short,off side,mid-off,,,
19.3," Meredith to Russell, FOUR, streaky but counts! Pacy full ball, Russell swings at it again and gets it off the inner half of the bat. Beats the fielder at square leg to find the fence ",1st Inns,22nd,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Ishan Kishan(w), Cameron Green, Tilak Varma, Suryakumar Yadav(c), Tim David, Nehal Wadhera, Arjun Tendulkar, Hrithik Shokeen, Piyush Chawla, Duan Jansen, Riley Meredith","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Venkatesh Iyer, N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Lockie Ferguson, Varun Chakaravarthy","Mumbai Indians Subs: Rohit Sharma, Ramandeep Singh, Arshad Khan, Vishnu Vinod, Kumar Kartikeya","Kolkata Knight Riders Subs: Suyash Sharma, David Wiese, Anukul Roy, Mandeep Singh, Vaibhav Arora",IPL,2023,"Wankhede Stadium,Mumbai","Apr 16,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Venkatesh Iyer,MI,field,KKR,MI,Russell, Meredith,4,0,Full,undefined,square leg,,,
19.2," Meredith to Russell, no run, Meredith goes for a yorker but ends up bowling a full-toss outside off which is dipping. Russell goes for a wild slog but only gets a bottom edge towards square leg ",1st Inns,22nd,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Ishan Kishan(w), Cameron Green, Tilak Varma, Suryakumar Yadav(c), Tim David, Nehal Wadhera, Arjun Tendulkar, Hrithik Shokeen, Piyush Chawla, Duan Jansen, Riley Meredith","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Venkatesh Iyer, N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Lockie Ferguson, Varun Chakaravarthy","Mumbai Indians Subs: Rohit Sharma, Ramandeep Singh, Arshad Khan, Vishnu Vinod, Kumar Kartikeya","Kolkata Knight Riders Subs: Suyash Sharma, David Wiese, Anukul Roy, Mandeep Singh, Vaibhav Arora",IPL,2023,"Wankhede Stadium,Mumbai","Apr 16,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Venkatesh Iyer,MI,field,KKR,MI,Russell, Meredith,0,0,yorker,off side,square leg,edge,,
19.1," Meredith to Narine, 1 run, a slower back of a length ball on off, Narine swings across the line but gets a bottom edge towards short third man and Russell is back on strike ",1st Inns,22nd,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Ishan Kishan(w), Cameron Green, Tilak Varma, Suryakumar Yadav(c), Tim David, Nehal Wadhera, Arjun Tendulkar, Hrithik Shokeen, Piyush Chawla, Duan Jansen, Riley Meredith","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Venkatesh Iyer, N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Lockie Ferguson, Varun Chakaravarthy","Mumbai Indians Subs: Rohit Sharma, Ramandeep Singh, Arshad Khan, Vishnu Vinod, Kumar Kartikeya","Kolkata Knight Riders Subs: Suyash Sharma, David Wiese, Anukul Roy, Mandeep Singh, Vaibhav Arora",IPL,2023,"Wankhede Stadium,Mumbai","Apr 16,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Venkatesh Iyer,MI,field,KKR,MI,Narine, Meredith,1,0,Back of Length,off side,short third man,edge,,
18.6," Jansen to Narine, 1 run, a slower ball around off, Narine mistimes his hit down to long-off for a run ",1st Inns,22nd,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Ishan Kishan(w), Cameron Green, Tilak Varma, Suryakumar Yadav(c), Tim David, Nehal Wadhera, Arjun Tendulkar, Hrithik Shokeen, Piyush Chawla, Duan Jansen, Riley Meredith","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Venkatesh Iyer, N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Lockie Ferguson, Varun Chakaravarthy","Mumbai Indians Subs: Rohit Sharma, Ramandeep Singh, Arshad Khan, Vishnu Vinod, Kumar Kartikeya","Kolkata Knight Riders Subs: Suyash Sharma, David Wiese, Anukul Roy, Mandeep Singh, Vaibhav Arora",IPL,2023,"Wankhede Stadium,Mumbai","Apr 16,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Venkatesh Iyer,MI,field,KKR,MI,Narine, Jansen,1,0,undefined,undefined,long-off,,,
18.6," Jansen to Narine, wide, Jansen bowls another one wide outside off, another wide ",1st Inns,22nd,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Ishan Kishan(w), Cameron Green, Tilak Varma, Suryakumar Yadav(c), Tim David, Nehal Wadhera, Arjun Tendulkar, Hrithik Shokeen, Piyush Chawla, Duan Jansen, Riley Meredith","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Venkatesh Iyer, N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Lockie Ferguson, Varun Chakaravarthy","Mumbai Indians Subs: Rohit Sharma, Ramandeep Singh, Arshad Khan, Vishnu Vinod, Kumar Kartikeya","Kolkata Knight Riders Subs: Suyash Sharma, David Wiese, Anukul Roy, Mandeep Singh, Vaibhav Arora",IPL,2023,"Wankhede Stadium,Mumbai","Apr 16,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Venkatesh Iyer,MI,field,KKR,MI,Narine, Jansen,wide,1,undefined,wide,,wide,,
18.6," Jansen to Narine, wide, length ball but wide outside off, it's beyond the tramline and a wide results ",1st Inns,22nd,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Ishan Kishan(w), Cameron Green, Tilak Varma, Suryakumar Yadav(c), Tim David, Nehal Wadhera, Arjun Tendulkar, Hrithik Shokeen, Piyush Chawla, Duan Jansen, Riley Meredith","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Venkatesh Iyer, N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Lockie Ferguson, Varun Chakaravarthy","Mumbai Indians Subs: Rohit Sharma, Ramandeep Singh, Arshad Khan, Vishnu Vinod, Kumar Kartikeya","Kolkata Knight Riders Subs: Suyash Sharma, David Wiese, Anukul Roy, Mandeep Singh, Vaibhav Arora",IPL,2023,"Wankhede Stadium,Mumbai","Apr 16,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Venkatesh Iyer,MI,field,KKR,MI,Narine, Jansen,wide,1,Good,wide,,wide,,
18.5," Jansen to Rinku Singh, out Caught by Nehal Wadhera!! On a length well outside off and slower in pace too, Rinku Singh has to reach out to it. He flat-bats it towards long-on but doesn have the elevation on it. It's straight down the throat of long-on and the fielder makes no mistake. MI are pulling it a bit in the death overs. Rinku Singh c Nehal Wadhera b Jansen 18(18) [4s-2] ",1st Inns,22nd,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Ishan Kishan(w), Cameron Green, Tilak Varma, Suryakumar Yadav(c), Tim David, Nehal Wadhera, Arjun Tendulkar, Hrithik Shokeen, Piyush Chawla, Duan Jansen, Riley Meredith","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Venkatesh Iyer, N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Umesh Yadav, Lockie Ferguson, Varun Chakaravarthy","Mumbai Indians Subs: Rohit Sharma, Ramandeep Singh, Arshad Khan, Vishnu Vinod, Kumar Kartikeya","Kolkata Knight Riders Subs: Suyash Sharma, David Wiese, Anukul Roy, Mandeep Singh, Vaibhav Arora",IPL,2023,"Wankhede Stadium,Mumbai","Apr 16,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Venkatesh Iyer,MI,field,KKR,MI,Rinku Singh, Jansen,out,out,Good,off side,long-on,pull shot,,"Catch out , nehal wadhera"
