ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
19.6," Harpreet Brar to Philip Salt, FOUR, low full toss on middle, Salt flicks it towards deep square leg where Rabada lets one slip through his hands. How costly could that kind of fumble be? DC end the innings very strong... ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Philip Salt, Harpreet Brar,4,0
19.5," Harpreet Brar to Philip Salt, no run, very good yorker on off, Salt can only jam it back to Brar ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Philip Salt, Harpreet Brar,0,0
19.4," Harpreet Brar to Rossouw, 1 run, fired full on the boots, better execution and Rossouw clips it towards deep mid-wicket ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Harpreet Brar,1,0
19.4," Harpreet Brar to Rossouw, wide, flat and too wide on the off side ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Harpreet Brar,wide,1
19.3," Harpreet Brar to Rossouw, SIX, once again the attempted wide yorker, overcooked and ends as a full toss which Rossouw smashes it over the bowler for a maximum ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Harpreet Brar,6,0
19.3," Harpreet Brar to Rossouw, wide, wide yorker, too far wide ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Harpreet Brar,wide,1
19.2," Harpreet Brar to Rossouw, FOUR, harsh on the bowler. Rossouw charges out and Brar goes yorker down leg for the stumping. The batter gets a tickle and this one goes for a boundary towards fine leg ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Harpreet Brar,4,0
19.1," Harpreet Brar to Rossouw, SIX, oops... Shikhar Dhawan already made to repent not bowling the pacer. Brar attempts yorker but Rossouw reads it. Charges out and smokes it over deep mid-wicket for a maximum ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Harpreet Brar,6,0
18.6," Nathan Ellis to Philip Salt, SIX, tonked!! Ellis goes full pace again and delivers one in the slot on off. A clean swing of the wrists down the ground and Philip Salt ends the over with a six ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Philip Salt, Nathan Ellis,6,0
18.5," Nathan Ellis to Philip Salt, no run, slower bouncer, goes over Salt's pull shot. The square leg umpire is happy with the height on this one.. dot ball ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Philip Salt, Nathan Ellis,0,0
