ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Joshua Little to Harpreet Brar, out Rishi Dhawan Run Out!! Exceptional from Saha as he dives to his right and catches the inside-edge on the bounce, gets up and throws with gloves on, hits direct and catches Rishi Dhawan short. PBKS end on 153. Rishi Dhawan run out (Saha) 1(1) ",1st Inns,18t,Punjab Kings,Gujarat Titans,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Bhanuka Rajapaksa, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rishi Dhawan, Arshdeep Singh","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Mohammed Shami, Mohit Sharma, Joshua Little","Punjab Kings Subs: Sikandar Raza, Harpreet Singh Bhatia, Rahul Chahar, Atharva Taide, Gurnoor Brar.","Gujarat Titans Subs: Vijay Shankar, Shivam Mavi, Jayant Yadav, Abhinav Manohar, Srikar Bharat.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 13,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Mohit Sharma,GT,field,PBKS,GT,Harpreet Brar, Joshua Little,out,out,Short
19.5," Joshua Little to Rishi Dhawan, 1 run, another direct-hit from Miller at extra-cover and Rishi Dhawan was gone. Full outside off, driven and Dhawan had given up, Miller lobbed it and missed ",1st Inns,18t,Punjab Kings,Gujarat Titans,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Bhanuka Rajapaksa, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rishi Dhawan, Arshdeep Singh","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Mohammed Shami, Mohit Sharma, Joshua Little","Punjab Kings Subs: Sikandar Raza, Harpreet Singh Bhatia, Rahul Chahar, Atharva Taide, Gurnoor Brar.","Gujarat Titans Subs: Vijay Shankar, Shivam Mavi, Jayant Yadav, Abhinav Manohar, Srikar Bharat.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 13,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Mohit Sharma,GT,field,PBKS,GT,Rishi Dhawan, Joshua Little,1,0,Full
19.4," Joshua Little to Shahrukh Khan, out Shahrukh Khan Run Out!! 1 run completed. Full and wide outside off, Shahrukh Khan drills it to the left of mid-off, was just one but as Pandya shaped to throw, the ball slipped out, the batters then looked at the 2nd, but Miller was there to fire in a throw on the bounce to Saha who does the rest, SRK couldn't get back and did not dive either. Caught short. Shahrukh Khan run out (Miller/Saha) 22(9) [4s-1 6s-2] ",1st Inns,18t,Punjab Kings,Gujarat Titans,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Bhanuka Rajapaksa, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rishi Dhawan, Arshdeep Singh","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Mohammed Shami, Mohit Sharma, Joshua Little","Punjab Kings Subs: Sikandar Raza, Harpreet Singh Bhatia, Rahul Chahar, Atharva Taide, Gurnoor Brar.","Gujarat Titans Subs: Vijay Shankar, Shivam Mavi, Jayant Yadav, Abhinav Manohar, Srikar Bharat.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 13,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Mohit Sharma,GT,field,PBKS,GT,Shahrukh Khan, Joshua Little,out,out,Full
19.4," Joshua Little to Shahrukh Khan, wide, the wide yorker misses its target outside off ",1st Inns,18t,Punjab Kings,Gujarat Titans,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Bhanuka Rajapaksa, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rishi Dhawan, Arshdeep Singh","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Mohammed Shami, Mohit Sharma, Joshua Little","Punjab Kings Subs: Sikandar Raza, Harpreet Singh Bhatia, Rahul Chahar, Atharva Taide, Gurnoor Brar.","Gujarat Titans Subs: Vijay Shankar, Shivam Mavi, Jayant Yadav, Abhinav Manohar, Srikar Bharat.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 13,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Mohit Sharma,GT,field,PBKS,GT,Shahrukh Khan, Joshua Little,wide,1,yorker
19.3," Joshua Little to Harpreet Brar, 1 run, fullish and angling into middle-stump, heaved to deep mid-wicket ",1st Inns,18t,Punjab Kings,Gujarat Titans,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Bhanuka Rajapaksa, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rishi Dhawan, Arshdeep Singh","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Mohammed Shami, Mohit Sharma, Joshua Little","Punjab Kings Subs: Sikandar Raza, Harpreet Singh Bhatia, Rahul Chahar, Atharva Taide, Gurnoor Brar.","Gujarat Titans Subs: Vijay Shankar, Shivam Mavi, Jayant Yadav, Abhinav Manohar, Srikar Bharat.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 13,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Mohit Sharma,GT,field,PBKS,GT,Harpreet Brar, Joshua Little,1,0,Full
19.2," Joshua Little to Harpreet Brar, SIX, this is in the slot and smashed. Full on off, Harpreet Brar holds his shape and lofts straight down the ground for a biggie, over the sightscreen, Pandya still applauds Little ",1st Inns,18t,Punjab Kings,Gujarat Titans,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Bhanuka Rajapaksa, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rishi Dhawan, Arshdeep Singh","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Mohammed Shami, Mohit Sharma, Joshua Little","Punjab Kings Subs: Sikandar Raza, Harpreet Singh Bhatia, Rahul Chahar, Atharva Taide, Gurnoor Brar.","Gujarat Titans Subs: Vijay Shankar, Shivam Mavi, Jayant Yadav, Abhinav Manohar, Srikar Bharat.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 13,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Mohit Sharma,GT,field,PBKS,GT,Harpreet Brar, Joshua Little,6,0,Full
19.1," Joshua Little to Shahrukh Khan, 1 run, full and wide outside off, Shahrukh Khan drives wide of mid-off and Pandya gets across and cuts it off with a dive ",1st Inns,18t,Punjab Kings,Gujarat Titans,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Bhanuka Rajapaksa, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rishi Dhawan, Arshdeep Singh","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Mohammed Shami, Mohit Sharma, Joshua Little","Punjab Kings Subs: Sikandar Raza, Harpreet Singh Bhatia, Rahul Chahar, Atharva Taide, Gurnoor Brar.","Gujarat Titans Subs: Vijay Shankar, Shivam Mavi, Jayant Yadav, Abhinav Manohar, Srikar Bharat.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 13,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Mohit Sharma,GT,field,PBKS,GT,Shahrukh Khan, Joshua Little,1,0,Full
18.6," Mohit Sharma to Shahrukh Khan, 1 run, back of the hand slower ball outside off again, Shahrukh Khan taps to the point region and retains the strike with that run ",1st Inns,18t,Punjab Kings,Gujarat Titans,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Bhanuka Rajapaksa, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rishi Dhawan, Arshdeep Singh","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Mohammed Shami, Mohit Sharma, Joshua Little","Punjab Kings Subs: Sikandar Raza, Harpreet Singh Bhatia, Rahul Chahar, Atharva Taide, Gurnoor Brar.","Gujarat Titans Subs: Vijay Shankar, Shivam Mavi, Jayant Yadav, Abhinav Manohar, Srikar Bharat.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 13,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Mohit Sharma,GT,field,PBKS,GT,Shahrukh Khan, Mohit Sharma,1,0,Back of Length
18.5," Mohit Sharma to Shahrukh Khan, FOUR, clever and well done. The slower ball is an off-cutter dug in outside off, Shahrukh Khan ramps and gets it wide of Joseph at short third man ",1st Inns,18t,Punjab Kings,Gujarat Titans,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Bhanuka Rajapaksa, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rishi Dhawan, Arshdeep Singh","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Mohammed Shami, Mohit Sharma, Joshua Little","Punjab Kings Subs: Sikandar Raza, Harpreet Singh Bhatia, Rahul Chahar, Atharva Taide, Gurnoor Brar.","Gujarat Titans Subs: Vijay Shankar, Shivam Mavi, Jayant Yadav, Abhinav Manohar, Srikar Bharat.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 13,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Mohit Sharma,GT,field,PBKS,GT,Shahrukh Khan, Mohit Sharma,4,0,Short
18.4," Mohit Sharma to Shahrukh Khan, no run, back of the hand slower ball outside off, Shahrukh Khan drives hard and straight to extra-cover ",1st Inns,18t,Punjab Kings,Gujarat Titans,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Bhanuka Rajapaksa, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rishi Dhawan, Arshdeep Singh","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Mohammed Shami, Mohit Sharma, Joshua Little","Punjab Kings Subs: Sikandar Raza, Harpreet Singh Bhatia, Rahul Chahar, Atharva Taide, Gurnoor Brar.","Gujarat Titans Subs: Vijay Shankar, Shivam Mavi, Jayant Yadav, Abhinav Manohar, Srikar Bharat.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 13,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Mohit Sharma,GT,field,PBKS,GT,Shahrukh Khan, Mohit Sharma,0,0,Back of Length
