ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Akash Madhwal to Livingstone, 2 runs, Akash Madhwal nails the yorker just outside off, Livingstone squeezes it towards long-on and Jitesh Sharma completes the second well before Livingstone could complete the first half of the second run... ",1st Inns,46t,Punjab Kings,Mumbai Indians,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rishi Dhawan, Rahul Chahar, Arshdeep Singh","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Tilak Varma, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Akash Madhwal, Arshad Khan","PBKS impact subs: Nathan Ellis, Sikandar Raza, Atharva Taide, Mohit Rathee, Shivam Singh.","MI impact subs: Suryakumar Yadav, Dewald Brevis, Vishnu Vinod, Ramandeep Singh, Tristan Stubbs.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 03,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Ishan Kishan,MI,field,PBKS,MI,Livingstone, Akash Madhwal,2,0,yorker,off side,long-on,,,
19.5," Akash Madhwal to Livingstone, 2 runs, 135ks full and well wide of off, Livingstone was made to reach out for the drive and he slots it off the toe end to the left of sweeper cover ",1st Inns,46t,Punjab Kings,Mumbai Indians,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rishi Dhawan, Rahul Chahar, Arshdeep Singh","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Tilak Varma, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Akash Madhwal, Arshad Khan","PBKS impact subs: Nathan Ellis, Sikandar Raza, Atharva Taide, Mohit Rathee, Shivam Singh.","MI impact subs: Suryakumar Yadav, Dewald Brevis, Vishnu Vinod, Ramandeep Singh, Tristan Stubbs.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 03,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Ishan Kishan,MI,field,PBKS,MI,Livingstone, Akash Madhwal,2,0,Full,wide,sweeper,drive,,
19.4," Akash Madhwal to Jitesh Sharma, 1 run, 135ks full and wide of off, Jitesh Sharma throws his bat on the drive and gets it off the outer edge to the left of deep backward point ",1st Inns,46t,Punjab Kings,Mumbai Indians,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rishi Dhawan, Rahul Chahar, Arshdeep Singh","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Tilak Varma, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Akash Madhwal, Arshad Khan","PBKS impact subs: Nathan Ellis, Sikandar Raza, Atharva Taide, Mohit Rathee, Shivam Singh.","MI impact subs: Suryakumar Yadav, Dewald Brevis, Vishnu Vinod, Ramandeep Singh, Tristan Stubbs.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 03,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Ishan Kishan,MI,field,PBKS,MI,Jitesh Sharma, Akash Madhwal,1,0,Full,wide,deep backward point,edge,,
19.3," Akash Madhwal to Livingstone, 1 run, low full toss on the stumps, Livingstone mistimes the heave down to long-on ",1st Inns,46t,Punjab Kings,Mumbai Indians,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rishi Dhawan, Rahul Chahar, Arshdeep Singh","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Tilak Varma, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Akash Madhwal, Arshad Khan","PBKS impact subs: Nathan Ellis, Sikandar Raza, Atharva Taide, Mohit Rathee, Shivam Singh.","MI impact subs: Suryakumar Yadav, Dewald Brevis, Vishnu Vinod, Ramandeep Singh, Tristan Stubbs.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 03,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Ishan Kishan,MI,field,PBKS,MI,Livingstone, Akash Madhwal,1,0,Full,stump line,long-on,,,
19.2," Akash Madhwal to Livingstone, 2 runs, full toss on the stumps, Livingstone mistimes the slog and Tim David goes for the catch at long-on, the ball lands just short of him and a slight fumble enables the second run. Punjab Kings have reviewed for a height no ball but this was clearly below the waist. Easy decision for the telly ump there... ",1st Inns,46t,Punjab Kings,Mumbai Indians,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rishi Dhawan, Rahul Chahar, Arshdeep Singh","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Tilak Varma, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Akash Madhwal, Arshad Khan","PBKS impact subs: Nathan Ellis, Sikandar Raza, Atharva Taide, Mohit Rathee, Shivam Singh.","MI impact subs: Suryakumar Yadav, Dewald Brevis, Vishnu Vinod, Ramandeep Singh, Tristan Stubbs.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 03,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Ishan Kishan,MI,field,PBKS,MI,Livingstone, Akash Madhwal,2,0,Full,stump line,long-on,slog shot,,
19.1," Akash Madhwal to Jitesh Sharma, 1 run, full outside off, Jitesh Sharma slices it to the left of sweeper cover ",1st Inns,46t,Punjab Kings,Mumbai Indians,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rishi Dhawan, Rahul Chahar, Arshdeep Singh","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Tilak Varma, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Akash Madhwal, Arshad Khan","PBKS impact subs: Nathan Ellis, Sikandar Raza, Atharva Taide, Mohit Rathee, Shivam Singh.","MI impact subs: Suryakumar Yadav, Dewald Brevis, Vishnu Vinod, Ramandeep Singh, Tristan Stubbs.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 03,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Ishan Kishan,MI,field,PBKS,MI,Jitesh Sharma, Akash Madhwal,1,0,Full,off side,sweeper,,,
18.6," Jofra Archer to Livingstone, 2 runs, 27 runs off the over. Full delivery bowled outside off at 152ks, Livingstone makes room and spanks it along the ground wide of extra cover. That is also the most expensive figures ever for Archer in IPL ",1st Inns,46t,Punjab Kings,Mumbai Indians,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rishi Dhawan, Rahul Chahar, Arshdeep Singh","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Tilak Varma, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Akash Madhwal, Arshad Khan","PBKS impact subs: Nathan Ellis, Sikandar Raza, Atharva Taide, Mohit Rathee, Shivam Singh.","MI impact subs: Suryakumar Yadav, Dewald Brevis, Vishnu Vinod, Ramandeep Singh, Tristan Stubbs.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 03,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Ishan Kishan,MI,field,PBKS,MI,Livingstone, Jofra Archer,2,0,Full,off side,extra cover,,,
18.6," Jofra Archer to Livingstone, 5 wides, fifty up for Jofra Archer with the ball. And to make matters worse it is a wide. 150ks bumper. Livingstone aims to swat it into the mid-wicket orbit but was it too high? Mumbai Indians think so and they have gone up for the review as well. Telly umpire checks the replays and deems it too high (ball would have passed above the head even if the batter was standing upright at the crease). Wide called... ",1st Inns,46t,Punjab Kings,Mumbai Indians,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rishi Dhawan, Rahul Chahar, Arshdeep Singh","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Tilak Varma, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Akash Madhwal, Arshad Khan","PBKS impact subs: Nathan Ellis, Sikandar Raza, Atharva Taide, Mohit Rathee, Shivam Singh.","MI impact subs: Suryakumar Yadav, Dewald Brevis, Vishnu Vinod, Ramandeep Singh, Tristan Stubbs.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 03,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Ishan Kishan,MI,field,PBKS,MI,Livingstone, Jofra Archer,wide,5,undefined,wide,mid-wicket,wide,,
18.5," Jofra Archer to Jitesh Sharma, 1 run, Jitesh Sharma looks to slog a length delivery and gets it off the thick inside half towards long-on ",1st Inns,46t,Punjab Kings,Mumbai Indians,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rishi Dhawan, Rahul Chahar, Arshdeep Singh","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Tilak Varma, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Akash Madhwal, Arshad Khan","PBKS impact subs: Nathan Ellis, Sikandar Raza, Atharva Taide, Mohit Rathee, Shivam Singh.","MI impact subs: Suryakumar Yadav, Dewald Brevis, Vishnu Vinod, Ramandeep Singh, Tristan Stubbs.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 03,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Ishan Kishan,MI,field,PBKS,MI,Jitesh Sharma, Jofra Archer,1,0,Good,undefined,long-on,slog shot,,
18.4," Jofra Archer to Livingstone, 1 run, pacy length delivery just outside off, Livingstone swings hard and gets a thick inside edge to fine leg ",1st Inns,46t,Punjab Kings,Mumbai Indians,"Punjab Kings (Playing XI): Prabhsimran Singh, Shikhar Dhawan(c), Matthew Short, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rishi Dhawan, Rahul Chahar, Arshdeep Singh","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Tilak Varma, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Akash Madhwal, Arshad Khan","PBKS impact subs: Nathan Ellis, Sikandar Raza, Atharva Taide, Mohit Rathee, Shivam Singh.","MI impact subs: Suryakumar Yadav, Dewald Brevis, Vishnu Vinod, Ramandeep Singh, Tristan Stubbs.",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","May 03,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Ishan Kishan,MI,field,PBKS,MI,Livingstone, Jofra Archer,1,0,Good,off side,fine leg,edge,,
