ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.6," Sam Curran to Shahbaz Ahmed, 2 runs, short slower delivery outside off stump, Shahbaz slaps it to deep cover, they come back for the second run ",1st Inns,27t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): Atharva Taide, Matthew Short, Harpreet Singh Bhatia, Liam Livingstone, Sam Curran(c), Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Nathan Ellis, Rahul Chahar, Arshdeep Singh","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Suyash Prabhudessai, Harshal Patel, Wayne Parnell, Mohammed Siraj","PBKS impact substitutes - Prabhsimran Singh, Mohit Rathee, Shivam Singh, Rishi Dhawan, Sikandar Raza","RCB impact substitutes - Vyshak Vijaykumar, David Willey, Karm Sharma, Akash Deep, Anuj Rawat",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 20,2023",Punjab Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 24 runs,Mohammed Siraj,PBKS,field,RCB,PBKS,Shahbaz Ahmed, Sam Curran,2,0,Short,off side
19.5," Sam Curran to Lomror, 1 run, slower delivery, Lomror inside edges the slog to deep mid-wicket ",1st Inns,27t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): Atharva Taide, Matthew Short, Harpreet Singh Bhatia, Liam Livingstone, Sam Curran(c), Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Nathan Ellis, Rahul Chahar, Arshdeep Singh","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Suyash Prabhudessai, Harshal Patel, Wayne Parnell, Mohammed Siraj","PBKS impact substitutes - Prabhsimran Singh, Mohit Rathee, Shivam Singh, Rishi Dhawan, Sikandar Raza","RCB impact substitutes - Vyshak Vijaykumar, David Willey, Karm Sharma, Akash Deep, Anuj Rawat",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 20,2023",Punjab Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 24 runs,Mohammed Siraj,PBKS,field,RCB,PBKS,Lomror, Sam Curran,1,0,undefined,undefined
19.4," Sam Curran to Shahbaz Ahmed, 1 run, short and into the wicket, mistimed the pull to long-on ",1st Inns,27t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): Atharva Taide, Matthew Short, Harpreet Singh Bhatia, Liam Livingstone, Sam Curran(c), Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Nathan Ellis, Rahul Chahar, Arshdeep Singh","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Suyash Prabhudessai, Harshal Patel, Wayne Parnell, Mohammed Siraj","PBKS impact substitutes - Prabhsimran Singh, Mohit Rathee, Shivam Singh, Rishi Dhawan, Sikandar Raza","RCB impact substitutes - Vyshak Vijaykumar, David Willey, Karm Sharma, Akash Deep, Anuj Rawat",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 20,2023",Punjab Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 24 runs,Mohammed Siraj,PBKS,field,RCB,PBKS,Shahbaz Ahmed, Sam Curran,1,0,Short,stump line
19.3," Sam Curran to Shahbaz Ahmed, 2 runs, goes full and wide outside off stump, Shahbaz toe-ends the loft to deep extra-cover ",1st Inns,27t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): Atharva Taide, Matthew Short, Harpreet Singh Bhatia, Liam Livingstone, Sam Curran(c), Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Nathan Ellis, Rahul Chahar, Arshdeep Singh","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Suyash Prabhudessai, Harshal Patel, Wayne Parnell, Mohammed Siraj","PBKS impact substitutes - Prabhsimran Singh, Mohit Rathee, Shivam Singh, Rishi Dhawan, Sikandar Raza","RCB impact substitutes - Vyshak Vijaykumar, David Willey, Karm Sharma, Akash Deep, Anuj Rawat",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 20,2023",Punjab Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 24 runs,Mohammed Siraj,PBKS,field,RCB,PBKS,Shahbaz Ahmed, Sam Curran,2,0,Full,wide
19.2," Sam Curran to Lomror, 1 run, short and slow, hit me if you can ball from Sam, Lomror mistimes to short fine leg ",1st Inns,27t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): Atharva Taide, Matthew Short, Harpreet Singh Bhatia, Liam Livingstone, Sam Curran(c), Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Nathan Ellis, Rahul Chahar, Arshdeep Singh","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Suyash Prabhudessai, Harshal Patel, Wayne Parnell, Mohammed Siraj","PBKS impact substitutes - Prabhsimran Singh, Mohit Rathee, Shivam Singh, Rishi Dhawan, Sikandar Raza","RCB impact substitutes - Vyshak Vijaykumar, David Willey, Karm Sharma, Akash Deep, Anuj Rawat",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 20,2023",Punjab Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 24 runs,Mohammed Siraj,PBKS,field,RCB,PBKS,Lomror, Sam Curran,1,0,Short,undefined
19.1,"Sam Curran to Lomror, leg byes, FOUR, oh lucky for Lomror and RCB. Slower delivery ball from Sam Curran, followed the batter as he moved across, inside edge onto thigh pad and it beats the keeper's dive to the right. Actually no bat, leg byes called",1st Inns,27t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): Atharva Taide, Matthew Short, Harpreet Singh Bhatia, Liam Livingstone, Sam Curran(c), Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Nathan Ellis, Rahul Chahar, Arshdeep Singh","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Suyash Prabhudessai, Harshal Patel, Wayne Parnell, Mohammed Siraj","PBKS impact substitutes - Prabhsimran Singh, Mohit Rathee, Shivam Singh, Rishi Dhawan, Sikandar Raza","RCB impact substitutes - Vyshak Vijaykumar, David Willey, Karm Sharma, Akash Deep, Anuj Rawat",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 20,2023",Punjab Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 24 runs,Mohammed Siraj,PBKS,field,RCB,PBKS,Lomror,Sam Curran,byes,4,undefined,undefined
18.6," Arshdeep Singh to Karthik, out Caught by Atharva Taide!! Pace on this bumper, direction close to the body too, which meant DK had to go leg-side. Trap set in the deep on the on-side it goes straight to deep backward square leg. Sam Curran is happy. Karthik c Atharva Taide b Arshdeep Singh 7(5) [4s-1] ",1st Inns,27t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): Atharva Taide, Matthew Short, Harpreet Singh Bhatia, Liam Livingstone, Sam Curran(c), Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Nathan Ellis, Rahul Chahar, Arshdeep Singh","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Suyash Prabhudessai, Harshal Patel, Wayne Parnell, Mohammed Siraj","PBKS impact substitutes - Prabhsimran Singh, Mohit Rathee, Shivam Singh, Rishi Dhawan, Sikandar Raza","RCB impact substitutes - Vyshak Vijaykumar, David Willey, Karm Sharma, Akash Deep, Anuj Rawat",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 20,2023",Punjab Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 24 runs,Mohammed Siraj,PBKS,field,RCB,PBKS,Karthik, Arshdeep Singh,out,out,undefined,undefined
18.5," Arshdeep Singh to Karthik, FOUR, and you don't bowl short and wide outside off stump with no third man. Arshdeep Singh probably wanted to bowl this around leg stump line but he got the radar wrong. DK says ah that's easy peasy! Upper cut over backward point for four ",1st Inns,27t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): Atharva Taide, Matthew Short, Harpreet Singh Bhatia, Liam Livingstone, Sam Curran(c), Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Nathan Ellis, Rahul Chahar, Arshdeep Singh","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Suyash Prabhudessai, Harshal Patel, Wayne Parnell, Mohammed Siraj","PBKS impact substitutes - Prabhsimran Singh, Mohit Rathee, Shivam Singh, Rishi Dhawan, Sikandar Raza","RCB impact substitutes - Vyshak Vijaykumar, David Willey, Karm Sharma, Akash Deep, Anuj Rawat",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 20,2023",Punjab Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 24 runs,Mohammed Siraj,PBKS,field,RCB,PBKS,Karthik, Arshdeep Singh,4,0,Short,wide
18.4," Arshdeep Singh to Lomror, 1 run, slapped straight to cover, but DK steals a single ",1st Inns,27t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): Atharva Taide, Matthew Short, Harpreet Singh Bhatia, Liam Livingstone, Sam Curran(c), Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Nathan Ellis, Rahul Chahar, Arshdeep Singh","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Suyash Prabhudessai, Harshal Patel, Wayne Parnell, Mohammed Siraj","PBKS impact substitutes - Prabhsimran Singh, Mohit Rathee, Shivam Singh, Rishi Dhawan, Sikandar Raza","RCB impact substitutes - Vyshak Vijaykumar, David Willey, Karm Sharma, Akash Deep, Anuj Rawat",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 20,2023",Punjab Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 24 runs,Mohammed Siraj,PBKS,field,RCB,PBKS,Lomror, Arshdeep Singh,1,0,undefined,undefined
18.3," Arshdeep Singh to Lomror, FOUR, swings, gets bat on ball, gets good bat on ball and places it wide of cover. Well, was a full toss that Arshdeep Singh wasn't pleased about. Lomror needed that to get going ",1st Inns,27t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): Atharva Taide, Matthew Short, Harpreet Singh Bhatia, Liam Livingstone, Sam Curran(c), Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Nathan Ellis, Rahul Chahar, Arshdeep Singh","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Suyash Prabhudessai, Harshal Patel, Wayne Parnell, Mohammed Siraj","PBKS impact substitutes - Prabhsimran Singh, Mohit Rathee, Shivam Singh, Rishi Dhawan, Sikandar Raza","RCB impact substitutes - Vyshak Vijaykumar, David Willey, Karm Sharma, Akash Deep, Anuj Rawat",IPL,2023,"Punjab Cricket Association IS Bindra Stadium,Mohali","Apr 20,2023",Punjab Kings have won the toss and have opted to field,Royal Challengers Bangalore won by 24 runs,Mohammed Siraj,PBKS,field,RCB,PBKS,Lomror, Arshdeep Singh,4,0,Good,wide
