ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match
19.6," Nortje to Shahbaz Ahmed, 2 runs, full on middle and leg, Shahbaz inside halves his heave towards deep square leg. A fumble first there and there not a clean pick-up by Porel allows RCB to end their innings with two runs. ",RCB Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Delhi Capitals (Playing XI): David Warner(c), Mitchell Marsh, Yash Dhull, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Royal Challengers Bangalore Subs: Suyash Prabhudessai, David Willey, Akash Deep, Karn Sharma, Anuj Rawat","Delhi Capitals Subs: Prithvi Shaw, Mukesh Kumar, Praveen Dubey, Sarfaraz Khan, Chetan Sakariya",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 15,2023",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 23 runs,Virat Kohli
19.6," Nortje to Shahbaz Ahmed, wide, full and chasing Shahbaz as he backed away. Goes too wide on leg side ",RCB Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Delhi Capitals (Playing XI): David Warner(c), Mitchell Marsh, Yash Dhull, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Royal Challengers Bangalore Subs: Suyash Prabhudessai, David Willey, Akash Deep, Karn Sharma, Anuj Rawat","Delhi Capitals Subs: Prithvi Shaw, Mukesh Kumar, Praveen Dubey, Sarfaraz Khan, Chetan Sakariya",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 15,2023",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 23 runs,Virat Kohli
19.5," Nortje to Anuj Rawat, 1 run, low full toss on the pads, turned towards fine leg. Anuj Rawat literally walks to the non-striker's end, doesn't run ",RCB Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Delhi Capitals (Playing XI): David Warner(c), Mitchell Marsh, Yash Dhull, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Royal Challengers Bangalore Subs: Suyash Prabhudessai, David Willey, Akash Deep, Karn Sharma, Anuj Rawat","Delhi Capitals Subs: Prithvi Shaw, Mukesh Kumar, Praveen Dubey, Sarfaraz Khan, Chetan Sakariya",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 15,2023",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 23 runs,Virat Kohli
19.4," Nortje to Shahbaz Ahmed, byes, 1 run, superb execution of the yorker again, goes between Shahbaz's legs and the keeper with a slight fumble to allow the RCB players to sneak across ",RCB Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Delhi Capitals (Playing XI): David Warner(c), Mitchell Marsh, Yash Dhull, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Royal Challengers Bangalore Subs: Suyash Prabhudessai, David Willey, Akash Deep, Karn Sharma, Anuj Rawat","Delhi Capitals Subs: Prithvi Shaw, Mukesh Kumar, Praveen Dubey, Sarfaraz Khan, Chetan Sakariya",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 15,2023",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 23 runs,Virat Kohli
19.3," Nortje to Anuj Rawat, leg byes, 1 run, lovely yorker from round the wicket, 149 clicks, Off the boots to the leg side for a leg bye ",RCB Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Delhi Capitals (Playing XI): David Warner(c), Mitchell Marsh, Yash Dhull, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Royal Challengers Bangalore Subs: Suyash Prabhudessai, David Willey, Akash Deep, Karn Sharma, Anuj Rawat","Delhi Capitals Subs: Prithvi Shaw, Mukesh Kumar, Praveen Dubey, Sarfaraz Khan, Chetan Sakariya",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 15,2023",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 23 runs,Virat Kohli
19.2," Nortje to Shahbaz Ahmed, 1 run, slower length ball, slammed into the pitch and towards long-on again ",RCB Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Delhi Capitals (Playing XI): David Warner(c), Mitchell Marsh, Yash Dhull, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Royal Challengers Bangalore Subs: Suyash Prabhudessai, David Willey, Akash Deep, Karn Sharma, Anuj Rawat","Delhi Capitals Subs: Prithvi Shaw, Mukesh Kumar, Praveen Dubey, Sarfaraz Khan, Chetan Sakariya",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 15,2023",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 23 runs,Virat Kohli
19.1," Nortje to Anuj Rawat, 1 run, blockhole delivery, pushed towards long-on ",RCB Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Delhi Capitals (Playing XI): David Warner(c), Mitchell Marsh, Yash Dhull, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Royal Challengers Bangalore Subs: Suyash Prabhudessai, David Willey, Akash Deep, Karn Sharma, Anuj Rawat","Delhi Capitals Subs: Prithvi Shaw, Mukesh Kumar, Praveen Dubey, Sarfaraz Khan, Chetan Sakariya",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 15,2023",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 23 runs,Virat Kohli
18.6," Mustafizur to Anuj Rawat, 1 run, nice yorker outside off, Rawat digs it into the pitch and towards long-on ",RCB Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Delhi Capitals (Playing XI): David Warner(c), Mitchell Marsh, Yash Dhull, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Royal Challengers Bangalore Subs: Suyash Prabhudessai, David Willey, Akash Deep, Karn Sharma, Anuj Rawat","Delhi Capitals Subs: Prithvi Shaw, Mukesh Kumar, Praveen Dubey, Sarfaraz Khan, Chetan Sakariya",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 15,2023",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 23 runs,Virat Kohli
18.5," Mustafizur to Shahbaz Ahmed, 1 run, blockhole delivery, heaved towards deep mid-wicket ",RCB Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Delhi Capitals (Playing XI): David Warner(c), Mitchell Marsh, Yash Dhull, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Royal Challengers Bangalore Subs: Suyash Prabhudessai, David Willey, Akash Deep, Karn Sharma, Anuj Rawat","Delhi Capitals Subs: Prithvi Shaw, Mukesh Kumar, Praveen Dubey, Sarfaraz Khan, Chetan Sakariya",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 15,2023",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 23 runs,Virat Kohli
18.4," Mustafizur to Shahbaz Ahmed, FOUR, once again a low full toss, this was at the stumps and Shahbaz Ahmed shuffles in to sweep it through a vacant square leg for a boundary... ",RCB Inns,20t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Delhi Capitals (Playing XI): David Warner(c), Mitchell Marsh, Yash Dhull, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Royal Challengers Bangalore Subs: Suyash Prabhudessai, David Willey, Akash Deep, Karn Sharma, Anuj Rawat","Delhi Capitals Subs: Prithvi Shaw, Mukesh Kumar, Praveen Dubey, Sarfaraz Khan, Chetan Sakariya",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 15,2023",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 23 runs,Virat Kohli
