ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Holder to Sam Curran, 1 run, PBKS finish with 197, fuller length delivery at the stumps, driven down to long-on for a single ",1st Inns,8th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Bhanuka Rajapaksa, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Sikandar Raza, Nathan Ellis, Harpreet Brar, Rahul Chahar, Arshdeep Singh","Rajasthan Royals Subs: Dhruv Jurel, Akash Vasisht, Murugan Ashwin, Kuldip Yadav, Donavon Ferreira","Punjab Kings Subs: Rishi Dhawan, Atharva Taide, Harpreet Singh Bhatia, Matthew Short, Mohit Rathee",IPL,2023,"Barsapara Cricket Stadium,Guwahati","Apr 05,2023",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 5 runs,Nathan Ellis,RR,field,PBKS,RR,Sam Curran, Holder,1,0,Full
19.5," Holder to Sam Curran, no run, yorker length delivery and angling into the left-hander, Curran backs away and squeezes it back at the bowler ",1st Inns,8th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Bhanuka Rajapaksa, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Sikandar Raza, Nathan Ellis, Harpreet Brar, Rahul Chahar, Arshdeep Singh","Rajasthan Royals Subs: Dhruv Jurel, Akash Vasisht, Murugan Ashwin, Kuldip Yadav, Donavon Ferreira","Punjab Kings Subs: Rishi Dhawan, Atharva Taide, Harpreet Singh Bhatia, Matthew Short, Mohit Rathee",IPL,2023,"Barsapara Cricket Stadium,Guwahati","Apr 05,2023",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 5 runs,Nathan Ellis,RR,field,PBKS,RR,Sam Curran, Holder,0,0,yorker
19.4," Holder to Shahrukh Khan, out Caught by Buttler!! Holder has his second and it's yet another smart catch from Buttler, running in from long-on - was very full and angling across the right-hander, Shahrukh didn't have the room to get under it, scooped it in the air and towards long-on, the ball seemed to be dropping safely, but Buttler ran in, slid forward and then took a good two-handed catch, right in front of his boot lace. Shahrukh Khan c Buttler b Holder 11(10) [4s-1] ",1st Inns,8th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Bhanuka Rajapaksa, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Sikandar Raza, Nathan Ellis, Harpreet Brar, Rahul Chahar, Arshdeep Singh","Rajasthan Royals Subs: Dhruv Jurel, Akash Vasisht, Murugan Ashwin, Kuldip Yadav, Donavon Ferreira","Punjab Kings Subs: Rishi Dhawan, Atharva Taide, Harpreet Singh Bhatia, Matthew Short, Mohit Rathee",IPL,2023,"Barsapara Cricket Stadium,Guwahati","Apr 05,2023",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 5 runs,Nathan Ellis,RR,field,PBKS,RR,Shahrukh Khan, Holder,out,out,Full
19.3," Holder to Shahrukh Khan, FOUR, nicely played, Holder misses the leg-stump yorker, turns out to be a low full-toss and Shahrukh paddles it over backward square leg, one bounce and over the ropes ",1st Inns,8th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Bhanuka Rajapaksa, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Sikandar Raza, Nathan Ellis, Harpreet Brar, Rahul Chahar, Arshdeep Singh","Rajasthan Royals Subs: Dhruv Jurel, Akash Vasisht, Murugan Ashwin, Kuldip Yadav, Donavon Ferreira","Punjab Kings Subs: Rishi Dhawan, Atharva Taide, Harpreet Singh Bhatia, Matthew Short, Mohit Rathee",IPL,2023,"Barsapara Cricket Stadium,Guwahati","Apr 05,2023",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 5 runs,Nathan Ellis,RR,field,PBKS,RR,Shahrukh Khan, Holder,4,0,yorker
19.2," Holder to Dhawan, 1 run, Dhawan has smashed one onto his toes, was looking to play the reverse paddle and the ball deflected off the bat onto his left toe, limps across for a single ",1st Inns,8th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Bhanuka Rajapaksa, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Sikandar Raza, Nathan Ellis, Harpreet Brar, Rahul Chahar, Arshdeep Singh","Rajasthan Royals Subs: Dhruv Jurel, Akash Vasisht, Murugan Ashwin, Kuldip Yadav, Donavon Ferreira","Punjab Kings Subs: Rishi Dhawan, Atharva Taide, Harpreet Singh Bhatia, Matthew Short, Mohit Rathee",IPL,2023,"Barsapara Cricket Stadium,Guwahati","Apr 05,2023",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 5 runs,Nathan Ellis,RR,field,PBKS,RR,Dhawan, Holder,1,0,undefined
19.1," Holder to Shahrukh Khan, 1 run, on a good length and at the stumps, Shahrukh shuffles right across and heaves it to deep mid-wicket for a single ",1st Inns,8th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Bhanuka Rajapaksa, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Sikandar Raza, Nathan Ellis, Harpreet Brar, Rahul Chahar, Arshdeep Singh","Rajasthan Royals Subs: Dhruv Jurel, Akash Vasisht, Murugan Ashwin, Kuldip Yadav, Donavon Ferreira","Punjab Kings Subs: Rishi Dhawan, Atharva Taide, Harpreet Singh Bhatia, Matthew Short, Mohit Rathee",IPL,2023,"Barsapara Cricket Stadium,Guwahati","Apr 05,2023",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 5 runs,Nathan Ellis,RR,field,PBKS,RR,Shahrukh Khan, Holder,1,0,Good
18.6," KM Asif to Dhawan, no run, fuller length delivery on the pads, whipped away to mid-wicket, 16 off the over ",1st Inns,8th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Bhanuka Rajapaksa, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Sikandar Raza, Nathan Ellis, Harpreet Brar, Rahul Chahar, Arshdeep Singh","Rajasthan Royals Subs: Dhruv Jurel, Akash Vasisht, Murugan Ashwin, Kuldip Yadav, Donavon Ferreira","Punjab Kings Subs: Rishi Dhawan, Atharva Taide, Harpreet Singh Bhatia, Matthew Short, Mohit Rathee",IPL,2023,"Barsapara Cricket Stadium,Guwahati","Apr 05,2023",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 5 runs,Nathan Ellis,RR,field,PBKS,RR,Dhawan, KM Asif,0,0,Full
18.5," KM Asif to Shahrukh Khan, 1 run, a near perfect yorker, right at the blockhole, squeezed away behind square on the on-side for a single ",1st Inns,8th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Bhanuka Rajapaksa, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Sikandar Raza, Nathan Ellis, Harpreet Brar, Rahul Chahar, Arshdeep Singh","Rajasthan Royals Subs: Dhruv Jurel, Akash Vasisht, Murugan Ashwin, Kuldip Yadav, Donavon Ferreira","Punjab Kings Subs: Rishi Dhawan, Atharva Taide, Harpreet Singh Bhatia, Matthew Short, Mohit Rathee",IPL,2023,"Barsapara Cricket Stadium,Guwahati","Apr 05,2023",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 5 runs,Nathan Ellis,RR,field,PBKS,RR,Shahrukh Khan, KM Asif,1,0,yorker
18.4," KM Asif to Dhawan, 1 run, banged in short and at the stumps, pulled down behind square on the on-side for a single ",1st Inns,8th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Bhanuka Rajapaksa, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Sikandar Raza, Nathan Ellis, Harpreet Brar, Rahul Chahar, Arshdeep Singh","Rajasthan Royals Subs: Dhruv Jurel, Akash Vasisht, Murugan Ashwin, Kuldip Yadav, Donavon Ferreira","Punjab Kings Subs: Rishi Dhawan, Atharva Taide, Harpreet Singh Bhatia, Matthew Short, Mohit Rathee",IPL,2023,"Barsapara Cricket Stadium,Guwahati","Apr 05,2023",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 5 runs,Nathan Ellis,RR,field,PBKS,RR,Dhawan, KM Asif,1,0,Short
18.3," KM Asif to Dhawan, FOUR, lovely, Dhawan is making up for lost time, wide full-toss and he carves it over extra-cover, almost went all the way, bounced right in front of the ropes ",1st Inns,8th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Bhanuka Rajapaksa, Jitesh Sharma(w), Shahrukh Khan, Sam Curran, Sikandar Raza, Nathan Ellis, Harpreet Brar, Rahul Chahar, Arshdeep Singh","Rajasthan Royals Subs: Dhruv Jurel, Akash Vasisht, Murugan Ashwin, Kuldip Yadav, Donavon Ferreira","Punjab Kings Subs: Rishi Dhawan, Atharva Taide, Harpreet Singh Bhatia, Matthew Short, Mohit Rathee",IPL,2023,"Barsapara Cricket Stadium,Guwahati","Apr 05,2023",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 5 runs,Nathan Ellis,RR,field,PBKS,RR,Dhawan, KM Asif,4,0,Full toss
