ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," T Natarajan to Samson, FOUR, hey you! How did you squeeze that yorker for four? The bowler did no wrong there. That was a base of off stump yorker, Samson backed away and sliced it, short third man was inside and it escaped past the dive. Mega finish from Sanju. Took Nattu for a six and two fours, no wonder he wanted to deny Hetmyer strike and Hety now hugs his captain for the finish ",1st Inns,52n,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Murugan Ashwin, Sandeep Sharma, Kuldip Yadav, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Glenn Phillips, Abdul Samad, Marco Jansen, Vivrant Sharma, Mayank Markande, Bhuvneshwar Kumar, T Natarajan","Rajasthan Royals Subs: Devdutt Padikkal, Adam Zampa, Riyan Parag, Jason Holder, Obed McCoy","Sunrisers Hyderabad Subs: Harry Brook, Anmolpreet Singh, Mayank Dagar, Nitish Reddy, Sanvir Singh",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 07,2023",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 4 wkts,Glenn Phillips,RR,bat,RR,SRH,Samson, T Natarajan,4,0,yorker
19.5," T Natarajan to Samson, SIX, setting a low base very early and thumping this down the ground. Oh Sanju, the talent! Natarajan just misses the yorker but it was Sanju's low base that helped him get under the ball and muscle it high over long-on. Outstanding shot ",1st Inns,52n,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Murugan Ashwin, Sandeep Sharma, Kuldip Yadav, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Glenn Phillips, Abdul Samad, Marco Jansen, Vivrant Sharma, Mayank Markande, Bhuvneshwar Kumar, T Natarajan","Rajasthan Royals Subs: Devdutt Padikkal, Adam Zampa, Riyan Parag, Jason Holder, Obed McCoy","Sunrisers Hyderabad Subs: Harry Brook, Anmolpreet Singh, Mayank Dagar, Nitish Reddy, Sanvir Singh",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 07,2023",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 4 wkts,Glenn Phillips,RR,bat,RR,SRH,Samson, T Natarajan,6,0,yorker
19.4," T Natarajan to Hetmyer, 1 run, low full toss, Hetmyer toe-ends the slog to long-on ",1st Inns,52n,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Murugan Ashwin, Sandeep Sharma, Kuldip Yadav, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Glenn Phillips, Abdul Samad, Marco Jansen, Vivrant Sharma, Mayank Markande, Bhuvneshwar Kumar, T Natarajan","Rajasthan Royals Subs: Devdutt Padikkal, Adam Zampa, Riyan Parag, Jason Holder, Obed McCoy","Sunrisers Hyderabad Subs: Harry Brook, Anmolpreet Singh, Mayank Dagar, Nitish Reddy, Sanvir Singh",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 07,2023",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 4 wkts,Glenn Phillips,RR,bat,RR,SRH,Hetmyer, T Natarajan,1,0,Full
19.3," T Natarajan to Samson, byes, 1 run, smart of Nattu to bowl slow into the pitch with Sanju shaping up for the scoop again, missed and Hetmyer steals a bye ",1st Inns,52n,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Murugan Ashwin, Sandeep Sharma, Kuldip Yadav, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Glenn Phillips, Abdul Samad, Marco Jansen, Vivrant Sharma, Mayank Markande, Bhuvneshwar Kumar, T Natarajan","Rajasthan Royals Subs: Devdutt Padikkal, Adam Zampa, Riyan Parag, Jason Holder, Obed McCoy","Sunrisers Hyderabad Subs: Harry Brook, Anmolpreet Singh, Mayank Dagar, Nitish Reddy, Sanvir Singh",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 07,2023",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 4 wkts,Glenn Phillips,RR,bat,RR,SRH,Samson, T Natarajan,byes,1,undefined
19.2," T Natarajan to Samson, FOUR, maybe this is why he wanted strike. Natarajan will obvious try the yorker, that's what he does for life. So Samson walks right across and it comes as a full toss, easy scoop to fine leg ",1st Inns,52n,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Murugan Ashwin, Sandeep Sharma, Kuldip Yadav, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Glenn Phillips, Abdul Samad, Marco Jansen, Vivrant Sharma, Mayank Markande, Bhuvneshwar Kumar, T Natarajan","Rajasthan Royals Subs: Devdutt Padikkal, Adam Zampa, Riyan Parag, Jason Holder, Obed McCoy","Sunrisers Hyderabad Subs: Harry Brook, Anmolpreet Singh, Mayank Dagar, Nitish Reddy, Sanvir Singh",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 07,2023",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 4 wkts,Glenn Phillips,RR,bat,RR,SRH,Samson, T Natarajan,4,0,yorker
19.1," T Natarajan to Hetmyer, 1 run, tries the blockhole ball, Hetmyer smashes it wide of long-on, Jansen stretches his left hand out and stops. Hetmyer wanted two, looks like Samson has said let me take strike ",1st Inns,52n,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Murugan Ashwin, Sandeep Sharma, Kuldip Yadav, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Glenn Phillips, Abdul Samad, Marco Jansen, Vivrant Sharma, Mayank Markande, Bhuvneshwar Kumar, T Natarajan","Rajasthan Royals Subs: Devdutt Padikkal, Adam Zampa, Riyan Parag, Jason Holder, Obed McCoy","Sunrisers Hyderabad Subs: Harry Brook, Anmolpreet Singh, Mayank Dagar, Nitish Reddy, Sanvir Singh",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 07,2023",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 4 wkts,Glenn Phillips,RR,bat,RR,SRH,Hetmyer, T Natarajan,1,0,undefined
18.6," Bhuvneshwar to Hetmyer, 1 run, yorker again, Hetmyer smashes it on the bounce to deep mid-wicket ",1st Inns,52n,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Murugan Ashwin, Sandeep Sharma, Kuldip Yadav, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Glenn Phillips, Abdul Samad, Marco Jansen, Vivrant Sharma, Mayank Markande, Bhuvneshwar Kumar, T Natarajan","Rajasthan Royals Subs: Devdutt Padikkal, Adam Zampa, Riyan Parag, Jason Holder, Obed McCoy","Sunrisers Hyderabad Subs: Harry Brook, Anmolpreet Singh, Mayank Dagar, Nitish Reddy, Sanvir Singh",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 07,2023",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 4 wkts,Glenn Phillips,RR,bat,RR,SRH,Hetmyer, Bhuvneshwar,1,0,yorker
18.5," Bhuvneshwar to Hetmyer, 2 runs, mistimed to mid-wicket, Hetmyer races back for the second run, slow throw and he had time to get back to the crease ",1st Inns,52n,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Murugan Ashwin, Sandeep Sharma, Kuldip Yadav, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Glenn Phillips, Abdul Samad, Marco Jansen, Vivrant Sharma, Mayank Markande, Bhuvneshwar Kumar, T Natarajan","Rajasthan Royals Subs: Devdutt Padikkal, Adam Zampa, Riyan Parag, Jason Holder, Obed McCoy","Sunrisers Hyderabad Subs: Harry Brook, Anmolpreet Singh, Mayank Dagar, Nitish Reddy, Sanvir Singh",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 07,2023",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 4 wkts,Glenn Phillips,RR,bat,RR,SRH,Hetmyer, Bhuvneshwar,2,0,undefined
18.4," Bhuvneshwar to Hetmyer, 2 runs, yorker, drilled wide of long-on ",1st Inns,52n,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Murugan Ashwin, Sandeep Sharma, Kuldip Yadav, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Glenn Phillips, Abdul Samad, Marco Jansen, Vivrant Sharma, Mayank Markande, Bhuvneshwar Kumar, T Natarajan","Rajasthan Royals Subs: Devdutt Padikkal, Adam Zampa, Riyan Parag, Jason Holder, Obed McCoy","Sunrisers Hyderabad Subs: Harry Brook, Anmolpreet Singh, Mayank Dagar, Nitish Reddy, Sanvir Singh",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 07,2023",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 4 wkts,Glenn Phillips,RR,bat,RR,SRH,Hetmyer, Bhuvneshwar,2,0,yorker
18.3," Bhuvneshwar to Buttler, out Lbw!! Oh dear! He misses a hundred by a mere five runs. We had Shubman Gill not completing a hundred in the first game today, now Buttler. He throws his head back in disappointment and walks off. Bhuvi does what he never tried last over - to bowl at the stumps and it gets him a massive wicket. Bhuvi went for the killer yorker, clearly Buttler wasn't expecting anything close to his body having seen what Bhuvi was trying last over. Buttler fell over on the flick and you can clearly see him standing a long way across the line expecting a wide line again. Hats off to Bhuvi for outsmarting a set batter. Ump thought going down leg, Bhuvi immediately demanded a review. Ball-tracker said impact in line and smashing base of leg stump. Buttler walks off to a great ovation. Buttler lbw b Bhuvneshwar 95(59) [4s-10 6s-4] ",1st Inns,52n,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Murugan Ashwin, Sandeep Sharma, Kuldip Yadav, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Glenn Phillips, Abdul Samad, Marco Jansen, Vivrant Sharma, Mayank Markande, Bhuvneshwar Kumar, T Natarajan","Rajasthan Royals Subs: Devdutt Padikkal, Adam Zampa, Riyan Parag, Jason Holder, Obed McCoy","Sunrisers Hyderabad Subs: Harry Brook, Anmolpreet Singh, Mayank Dagar, Nitish Reddy, Sanvir Singh",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 07,2023",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 4 wkts,Glenn Phillips,RR,bat,RR,SRH,Buttler, Bhuvneshwar,out,out,yorker
18.2," Bhuvneshwar to Samson, 1 run, yorker, Samson digs it out to deep mid-wicket ",1st Inns,52n,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Murugan Ashwin, Sandeep Sharma, Kuldip Yadav, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Glenn Phillips, Abdul Samad, Marco Jansen, Vivrant Sharma, Mayank Markande, Bhuvneshwar Kumar, T Natarajan","Rajasthan Royals Subs: Devdutt Padikkal, Adam Zampa, Riyan Parag, Jason Holder, Obed McCoy","Sunrisers Hyderabad Subs: Harry Brook, Anmolpreet Singh, Mayank Dagar, Nitish Reddy, Sanvir Singh",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 07,2023",Rajasthan Royals have won the toss and have opted to bat,Sunrisers Hyderabad won by 4 wkts,Glenn Phillips,RR,bat,RR,SRH,Samson, Bhuvneshwar,1,0,yorker
