ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss
 19.6 ," Nortje to Klaasen, 2 runs, oh brillialty smashed by Klaasen but outstanding save at long-off by Warner, Akeal Hosein rushes back for the second run ",SRH Inns,40t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Priyam Garg, Axar Patel, Ripal Patel, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Mayank Markande, Bhuvneshwar Kumar, Akeal Hosein, Umran Malik","Impact subs for DC: Sarfaraz Khan, Lalit Yadav, Abhishek Porel, Khaleel Ahmed, Praveen Dubey.","Impact subs for SRH: Marco Jansen, Vivrant Sharma, Glenn Phillips, Mayank Dagar, Natarajan.",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 29,2023",Sunrisers Hyderabad have won the toss and have opted to bat
 19.5 ," Nortje to Akeal Hosein, 1 run, lovely yorker, dug out beside the pitch, Klaasen steals the run as he wants strike. Nortje picks up and fires the stumps at the bowler's end but Akeal was well home ",SRH Inns,40t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Priyam Garg, Axar Patel, Ripal Patel, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Mayank Markande, Bhuvneshwar Kumar, Akeal Hosein, Umran Malik","Impact subs for DC: Sarfaraz Khan, Lalit Yadav, Abhishek Porel, Khaleel Ahmed, Praveen Dubey.","Impact subs for SRH: Marco Jansen, Vivrant Sharma, Glenn Phillips, Mayank Dagar, Natarajan.",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 29,2023",Sunrisers Hyderabad have won the toss and have opted to bat
 19.4 ," Nortje to Akeal Hosein, 2 runs, backs away, Nortje follows him, Akeal manages to flick it wide of mid-wicket ",SRH Inns,40t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Priyam Garg, Axar Patel, Ripal Patel, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Mayank Markande, Bhuvneshwar Kumar, Akeal Hosein, Umran Malik","Impact subs for DC: Sarfaraz Khan, Lalit Yadav, Abhishek Porel, Khaleel Ahmed, Praveen Dubey.","Impact subs for SRH: Marco Jansen, Vivrant Sharma, Glenn Phillips, Mayank Dagar, Natarajan.",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 29,2023",Sunrisers Hyderabad have won the toss and have opted to bat
 19.3 ," Nortje to Klaasen, 1 run, yorker outside off stump, Klaasen digs it out to long-on ",SRH Inns,40t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Priyam Garg, Axar Patel, Ripal Patel, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Mayank Markande, Bhuvneshwar Kumar, Akeal Hosein, Umran Malik","Impact subs for DC: Sarfaraz Khan, Lalit Yadav, Abhishek Porel, Khaleel Ahmed, Praveen Dubey.","Impact subs for SRH: Marco Jansen, Vivrant Sharma, Glenn Phillips, Mayank Dagar, Natarajan.",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 29,2023",Sunrisers Hyderabad have won the toss and have opted to bat
 19.2 ," Nortje to Klaasen, 2 runs, full toss, oh high in the airrr but no extra-cover. Lands safely and that's Klaasen's maiden IPL fifty. Moved across to smash this ball over mid-wicket, bat turned in his hands because of Nortje's pace but he escaped ",SRH Inns,40t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Priyam Garg, Axar Patel, Ripal Patel, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Mayank Markande, Bhuvneshwar Kumar, Akeal Hosein, Umran Malik","Impact subs for DC: Sarfaraz Khan, Lalit Yadav, Abhishek Porel, Khaleel Ahmed, Praveen Dubey.","Impact subs for SRH: Marco Jansen, Vivrant Sharma, Glenn Phillips, Mayank Dagar, Natarajan.",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 29,2023",Sunrisers Hyderabad have won the toss and have opted to bat
 19.1 ," Nortje to Klaasen, FOUR, oh lucky! He wanted the reverse paddle past short third man, but this wide yorker has hit the back of the bat, esacpes the stumps and rolls past short fine leg for four ",SRH Inns,40t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Priyam Garg, Axar Patel, Ripal Patel, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Mayank Markande, Bhuvneshwar Kumar, Akeal Hosein, Umran Malik","Impact subs for DC: Sarfaraz Khan, Lalit Yadav, Abhishek Porel, Khaleel Ahmed, Praveen Dubey.","Impact subs for SRH: Marco Jansen, Vivrant Sharma, Glenn Phillips, Mayank Dagar, Natarajan.",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 29,2023",Sunrisers Hyderabad have won the toss and have opted to bat
 18.6 ," Mitchell Marsh to Akeal Hosein, SIX, there he goes across the stumps to cut the angle, exposes middle and leg stump, Marsh bowls close to the body and Akeal whips it away over long leg ",SRH Inns,40t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Priyam Garg, Axar Patel, Ripal Patel, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Mayank Markande, Bhuvneshwar Kumar, Akeal Hosein, Umran Malik","Impact subs for DC: Sarfaraz Khan, Lalit Yadav, Abhishek Porel, Khaleel Ahmed, Praveen Dubey.","Impact subs for SRH: Marco Jansen, Vivrant Sharma, Glenn Phillips, Mayank Dagar, Natarajan.",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 29,2023",Sunrisers Hyderabad have won the toss and have opted to bat
 18.5 ," Mitchell Marsh to Akeal Hosein, no run, nah, not happening today for Akeal. He's trying so hard to slog across the line to a ball that is spinning away. The risk of ball hitting outer half of the bat and ballooning is so high. Better off he tries to hit off-side and cut some angle ",SRH Inns,40t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Priyam Garg, Axar Patel, Ripal Patel, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Mayank Markande, Bhuvneshwar Kumar, Akeal Hosein, Umran Malik","Impact subs for DC: Sarfaraz Khan, Lalit Yadav, Abhishek Porel, Khaleel Ahmed, Praveen Dubey.","Impact subs for SRH: Marco Jansen, Vivrant Sharma, Glenn Phillips, Mayank Dagar, Natarajan.",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 29,2023",Sunrisers Hyderabad have won the toss and have opted to bat
 18.4 ," Mitchell Marsh to Klaasen, 1 run, bowls slow, short and wide of off stump as Klaasen backs away, slapped to deep cover ",SRH Inns,40t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Priyam Garg, Axar Patel, Ripal Patel, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Mayank Markande, Bhuvneshwar Kumar, Akeal Hosein, Umran Malik","Impact subs for DC: Sarfaraz Khan, Lalit Yadav, Abhishek Porel, Khaleel Ahmed, Praveen Dubey.","Impact subs for SRH: Marco Jansen, Vivrant Sharma, Glenn Phillips, Mayank Dagar, Natarajan.",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 29,2023",Sunrisers Hyderabad have won the toss and have opted to bat
 18.3 ," Mitchell Marsh to Akeal Hosein, 1 run, now the under edge rolls past the stumps and they get the single ",SRH Inns,40t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Priyam Garg, Axar Patel, Ripal Patel, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Mayank Markande, Bhuvneshwar Kumar, Akeal Hosein, Umran Malik","Impact subs for DC: Sarfaraz Khan, Lalit Yadav, Abhishek Porel, Khaleel Ahmed, Praveen Dubey.","Impact subs for SRH: Marco Jansen, Vivrant Sharma, Glenn Phillips, Mayank Dagar, Natarajan.",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 29,2023",Sunrisers Hyderabad have won the toss and have opted to bat
